ID,EVENT_TYPE,DAY_OF_WEEK,RANGE_DATE_START,RANGE_DATE_END,DISTRICT,districtIdWiki,STREETS_1,STREETS_2,NO_OF_VICTIMS,CPFA_HAIL,hail+ice,HAIL+ICE+RAIN,HAIL+ICE+RAIN+FOG,weatherCondition,WeatherConditionID,CPFA_ICE,CPFA_RAIN,CPFA_FOG,CPFA_DRY,CPFA_SNOW,CPSV_WET,CPSV_OIL,Wet+Oil,CPSV_MUD,Wet+Oil+Mud,CPSV_LOOSE_GRAVEL,Wet+Oik+Mud+Gravel,CPSV_ICE,Wet+Oil+Mud+Gravel+Ice,CPSV_DRY_AND_CLEAN,SurfaceCondition
2018-104,ATROPELLO,MARTES,2/01/2018 12:00,2/01/2018 12:59,Tetuán,https://www.wikidata.org/wiki/Q1773540,CALLE DE LA INFANTA MERCEDES NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-56,ATROPELLO,MARTES,2/01/2018 13:00,2/01/2018 13:59,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,CALLE DE MANUEL BARTOLOME COSSIO NUM,,2,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-92,COLISION DOBLE,MARTES,2/01/2018 13:00,2/01/2018 13:59,Salamanca,https://www.wikidata.org/wiki/Q1773521,CALLE DE LA ARMADA ESPAÑOLA,PASEO DE RECOLETOS,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-36,ATROPELLO,MARTES,2/01/2018 14:00,2/01/2018 14:59,Arganzuela,https://www.wikidata.org/wiki/Q2000929,PASEO DE LA CHOPERA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-54,CAIDA MOTOCICLETA,MARTES,2/01/2018 14:00,2/01/2018 14:59,Chamartín,https://www.wikidata.org/wiki/Q1766348,CALLE DE EUGENIO SALAZAR NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-69,COLISION DOBLE,MARTES,2/01/2018 15:00,2/01/2018 15:59,Chamberí,https://www.wikidata.org/wiki/Q1763370,PASEO DE LA CASTELLANA,PLAZA DE COLON,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-256,CAIDA MOTOCICLETA,MARTES,2/01/2018 15:00,2/01/2018 15:59,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,CALLE DE ALCALA,CALLE DE VAZQUEZ DE MELLA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-60,COLISION DOBLE,MARTES,2/01/2018 15:00,2/01/2018 15:59,San Blas,https://www.wikidata.org/wiki/Q2001937,AVENIDA DEL INVIERNO,CALLE DE YECORA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-74,COLISION MULTIPLE,MARTES,2/01/2018 15:00,2/01/2018 15:59,Vicálvaro,https://www.wikidata.org/wiki/Q589403,AVENIDA DE ARCENTALES,CALLE DE ESTOCOLMO,3,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-57,COLISION DOBLE,MARTES,2/01/2018 15:00,2/01/2018 15:59,Villaverde,https://www.wikidata.org/wiki/Q919536,CALLE DE LA LAGUNA DEL MARQUESADO NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-68,COLISION DOBLE,MARTES,2/01/2018 16:00,2/01/2018 16:59,San Blas,https://www.wikidata.org/wiki/Q2001937,AVENIDA DE ARCENTALES,AVENIDA DE CANILLEJAS A VICALVARO,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-41,ATROPELLO,MARTES,2/01/2018 17:00,2/01/2018 17:59,Moratalaz,https://www.wikidata.org/wiki/Q2076109,CALLE DE LA FUENTE CARRANTONA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-118,COLISION DOBLE,MARTES,2/01/2018 17:00,2/01/2018 17:59,Salamanca,https://www.wikidata.org/wiki/Q1773521,AVENIDA DE LA GUINDALERA,GLORIETA DE JAIME CAMPMANY,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-45,COLISION MULTIPLE,MARTES,2/01/2018 17:00,2/01/2018 17:59,Tetuán,https://www.wikidata.org/wiki/Q1773540,CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE,PASEO DE LA CASTELLANA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-61,COLISION DOBLE,MARTES,2/01/2018 18:00,2/01/2018 18:59,Arganzuela,https://www.wikidata.org/wiki/Q2000929,PASEO DE LAS DELICIAS,PASEO DE SANTA MARIA DE LA CABEZA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-164,COLISION MULTIPLE,MARTES,2/01/2018 18:00,2/01/2018 18:59,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,AVENIDA DE LAS SUERTES,CALLE DE ENTREPEÑAS,4,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-63,CAIDA VIAJERO BUS,MARTES,2/01/2018 19:00,2/01/2018 19:59,Usera,https://www.wikidata.org/wiki/Q953368,CALLE DE DOLORES BARRANCO,CALLE DEL OLVIDO,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-75,ATROPELLO,MARTES,2/01/2018 20:00,2/01/2018 20:59,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,AVENIDA DE MONFORTE DE LEMOS NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-163,COLISION DOBLE,MARTES,2/01/2018 20:00,2/01/2018 20:59,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,AVENIDA DEL MEDITERRANEO KM.,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-105,ATROPELLO,MARTES,2/01/2018 20:00,2/01/2018 20:59,Salamanca,https://www.wikidata.org/wiki/Q1773521,AVENIDA DE BRASILIA,AVENIDA DE DONOSTIARRA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-121,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 00:00,3/01/2018 00:59,Usera,https://www.wikidata.org/wiki/Q953368,CALLE DE FELIPE CASTRO,CALLE DE MADRIDEJOS,1,, ,  RAIN,  RAIN ,RAIN,WeatherCondition07,,RAIN,,,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-49,CHOQUE CON OBJETO FIJO,MIERCOLES,3/01/2018 04:00,3/01/2018 04:59,Carabanchel,https://www.wikidata.org/wiki/Q1001991,PASEO DE MUÑOZ GRANDES NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-100,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 07:00,3/01/2018 07:59,Chamberí,https://www.wikidata.org/wiki/Q1763370,CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-99,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 07:00,3/01/2018 07:59,Retiro,https://www.wikidata.org/wiki/Q2002296,PASEO DEL PRADO,PLAZA DE CIBELES,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-125,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 09:00,3/01/2018 09:59,Chamartín,https://www.wikidata.org/wiki/Q1766348,CALLE DEL PRINCIPE DE VERGARA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-223,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 09:00,3/01/2018 09:59,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,CALLE DE ARTURO SORIA NUM,,1,, ,  RAIN,  RAIN ,RAIN,WeatherCondition07,,RAIN,,,,WET,,WET ,,WET  ,,WET   ,,WET    ,,WET
2018-172,CHOQUE CON OBJETO FIJO,MIERCOLES,3/01/2018 09:00,3/01/2018 09:59,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,PASEO DE RUPERTO CHAPI,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-414,CAIDA MOTOCICLETA,MIERCOLES,3/01/2018 09:00,3/01/2018 09:59,Tetuán,https://www.wikidata.org/wiki/Q1773540,CALLE DE ADRIAN PULIDO,CALLE DE LORENZA CORREA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
